bill_id,visit_id,insureprov_id,owner_id,duedate,billamount,remainderdue
81,93,,,6/29/05,628.33,0
82,94,,,6/29/05,319.66,0
83,95,,,6/29/05,89.86,0
84,96,,,6/29/05,845.09,0
85,98,,,6/30/05,46.3,0
86,99,,,6/30/05,805.82,0
87,100,,,6/30/05,110.13,0
88,101,,,7/1/05,17.68,0
89,102,,,7/1/05,147.8,0
90,103,,,7/1/05,40.6,0
91,104,,,7/1/05,786.55,0
92,105,,,7/2/05,249.69,0
93,107,,,7/2/05,432.28,0
94,108,,,7/2/05,835.91,0
95,109,,,7/3/05,825.15,0
96,110,,,7/3/05,848.47,0
97,111,,,7/3/05,160.35,0
98,112,,,7/3/05,772.57,0
99,113,,,7/4/05,327.08,0
100,114,,,7/4/05,512.81,0
101,115,,,7/4/05,784.36,0
102,116,,,7/4/05,205.87,0
103,117,,,7/5/05,495.4,0
104,118,,,7/5/05,71.71,0
105,119,,,7/5/05,214.51,0
106,120,,,7/5/05,85.48,0
107,121,,,7/6/05,513.4,0
108,123,,,7/6/05,567.77,0
109,124,,,7/6/05,788.3,0
110,125,,,7/7/05,37.71,0
111,126,,,7/7/05,125.42,0
112,127,,,7/7/05,359.55,0
113,128,,,7/7/05,62.35,0
114,129,,,7/8/05,700.89,0
115,130,,,7/8/05,809.85,0
116,131,,,7/8/05,391.82,0
117,132,,,7/8/05,452.17,0
118,133,,,7/9/05,344.61,0
119,134,,,7/9/05,881.28,0
120,135,,,7/9/05,9.12,0
121,136,,,7/9/05,593.36,0
122,137,,,7/10/05,631.18,0
123,138,,,7/10/05,183.46,0
124,140,,,7/10/05,283.62,0
125,141,,,7/11/05,228.61,0
126,143,,,7/11/05,555.98,0
127,145,,,7/12/05,490.11,0
128,146,,,7/12/05,781.3,0
129,147,,,7/12/05,177.54,0
130,148,,,7/12/05,573.2,0
131,149,,,7/13/05,95.54,0
132,150,,,7/13/05,470.47,0
133,151,,,7/13/05,513.59,0
134,152,,,7/13/05,451.06,0
135,153,,,7/14/05,547.14,0
136,154,,,7/14/05,235.25,0
137,155,,,7/14/05,761.76,0
138,156,,,7/14/05,812.64,0
139,157,,,7/15/05,882.97,0
140,158,,,7/15/05,446.38,0
141,159,,,7/15/05,337.3,0
142,160,,,7/15/05,588.87,0
143,161,,,7/16/05,215.8,0
144,162,,,7/16/05,302.5,0
145,163,,,7/16/05,172.61,0
146,164,,,7/16/05,81.05,0
147,166,,,7/17/05,199.62,0
148,167,,,7/17/05,570.4,0
149,169,,,7/18/05,354.77,0
150,170,,,7/18/05,549.75,0
151,171,,,7/18/05,782.74,0
152,173,,,7/19/05,383.87,0
153,174,,,7/19/05,765.26,0
154,175,,,7/19/05,582.55,0
155,176,,,7/19/05,162.29,0
156,177,,,7/20/05,484.64,0
157,178,,,7/20/05,546.34,0
158,179,,,7/20/05,836.29,0
159,180,,,7/20/05,190.3,0
160,181,,,7/21/05,716.01,0
161,182,,,7/21/05,255.52,0
162,183,,,7/21/05,255.55,0
163,184,,,7/21/05,590.99,0
164,185,,,7/22/05,314.65,0
165,186,,,7/22/05,102.51,0
166,187,,,7/22/05,456.99,0
167,188,,,7/22/05,138.82,0
168,189,,,7/23/05,322.42,0
169,190,,,7/23/05,308.73,0
170,191,,,7/23/05,579.45,0
171,192,,,7/23/05,760.78,0
172,193,,,7/24/05,775.41,0
173,194,,,7/24/05,330.79,0
174,195,,,7/24/05,462.19,0
175,196,,,7/24/05,884.96,0
176,197,,,7/25/05,642.85,0
177,198,,,7/25/05,458.99,0
178,199,,,7/25/05,532.3,0
179,200,,,7/25/05,137.75,0
180,201,,,7/26/05,376,0
181,202,,,7/26/05,733.15,0
182,203,,,7/26/05,150.78,0
183,204,,,7/26/05,725.72,0
184,205,,,7/27/05,504.22,0
185,207,,,7/27/05,736.82,0
186,208,,,7/27/05,746.11,0
187,209,,,7/28/05,333.63,0
188,212,,,7/28/05,467.52,0
189,213,,,7/29/05,125.62,0
190,214,,,7/29/05,712.51,0
191,215,,,7/29/05,270.26,0
192,216,,,7/29/05,820.65,0
193,217,,,7/30/05,241.42,0
194,218,,,7/30/05,597.21,0
195,219,,,7/30/05,831.26,0
196,220,,,7/30/05,552.52,0
197,221,,,7/31/05,428.42,0
198,223,,,7/31/05,200.36,0
199,224,,,7/31/05,178.47,0
200,225,,,8/1/05,664.96,0
201,226,,,8/1/05,456.11,0
202,227,,,8/1/05,26.51,0
203,228,,,8/1/05,653.72,0
204,230,,,8/2/05,253.57,0
205,231,,,8/2/05,665.14,0
206,232,,,8/2/05,260.09,0
207,233,,,8/3/05,208.36,0
208,234,,,8/3/05,730.79,0
209,235,,,8/3/05,606.2,0
210,236,,,8/3/05,481.03,0
211,237,,,8/4/05,862.99,0
212,238,,,8/4/05,466.8,0
213,240,,,8/4/05,586.09,0
214,241,,,8/5/05,585.47,0
215,242,,,8/5/05,444.36,0
216,243,,,8/5/05,652.19,0
217,244,,,8/5/05,462.2,0
218,245,,,8/6/05,86,0
219,246,,,8/6/05,702.66,0
220,247,,,8/6/05,319.32,0
221,248,,,8/6/05,326.74,0
222,249,,,8/7/05,5.03,0
223,250,,,8/7/05,748.77,0
224,251,,,8/7/05,781.7,0
225,252,,,8/7/05,747.68,0
226,253,,,8/8/05,741.81,0
227,254,,,8/8/05,586.83,0
228,255,,,8/8/05,388.96,0
229,257,,,8/9/05,574.67,0
230,258,,,8/9/05,325.6,0
231,259,,,8/9/05,583.65,0
232,260,,,8/9/05,775.72,0
233,261,,,8/10/05,679.45,0
234,262,,,8/10/05,351.77,0
235,263,,,8/10/05,68.7,0
236,264,,,8/10/05,43.67,0
237,265,,,8/11/05,252.49,0
238,266,,,8/11/05,689.73,0
239,267,,,8/11/05,521.87,0
240,268,,,8/11/05,757.87,0
241,269,,,8/12/05,234.87,0
242,270,,,8/12/05,836.81,0
243,272,,,8/12/05,127.46,0
244,273,,,8/13/05,129.36,0
245,274,,,8/13/05,777.75,0
246,275,,,8/13/05,476.17,0
247,276,,,8/13/05,769.27,0
248,277,,,8/14/05,802.28,0
249,278,,,8/14/05,332.34,0
250,280,,,8/14/05,845.84,0
251,281,,,8/15/05,214.94,0
252,282,,,8/15/05,430.13,0
253,283,,,8/15/05,893.93,0
254,284,,,8/15/05,143.97,0
255,285,,,8/16/05,895.7,0
256,286,,,8/16/05,579.3,0
257,287,,,8/16/05,663.35,0
258,288,,,8/16/05,358.71,0
259,289,,,8/17/05,342.27,0
260,290,,,8/17/05,312.52,0
261,291,,,8/17/05,573.41,0
262,292,,,8/17/05,840.66,0
263,293,,,8/18/05,791.55,0
264,294,,,8/18/05,861.54,0
265,295,,,8/18/05,843.44,0
266,296,,,8/18/05,536.94,0
267,297,,,8/19/05,82.78,0
268,298,,,8/19/05,233.38,0
269,299,,,8/19/05,600.06,0
270,300,,,8/19/05,326.22,0
271,301,,,8/20/05,537.78,0
272,303,,,8/20/05,162.21,0
273,304,,,8/20/05,599.25,0
274,306,,,8/21/05,627.42,0
275,307,,,8/21/05,773.69,0
276,308,,,8/21/05,10.08,0
277,310,,,8/22/05,503.12,0
278,311,,,8/22/05,281.78,0
279,312,,,8/22/05,561.26,0
280,313,,,8/23/05,318.17,0
281,314,,,8/23/05,488.94,0
282,315,,,8/23/05,534.31,0
283,316,,,8/23/05,623.49,0
284,317,,,8/24/05,752.6,0
285,318,,,8/24/05,644.55,0
286,319,,,8/24/05,616.1,0
287,321,,,8/25/05,219.38,0
288,322,,,8/25/05,843.02,0
289,323,,,8/25/05,843.95,0
290,324,,,8/25/05,648.72,0
291,325,,,8/26/05,226.83,0
292,326,,,8/26/05,271.53,0
293,327,,,8/26/05,211.22,0
294,328,,,8/26/05,221.05,0
295,329,,,8/27/05,3.76,0
296,331,,,8/27/05,352.74,0
297,332,,,8/27/05,749.68,0
298,334,,,8/28/05,178.12,0
299,337,,,8/29/05,484.37,0
300,338,,,8/29/05,35.33,0
301,339,,,8/29/05,307.37,0
302,340,,,8/29/05,570.64,0
303,342,,,8/30/05,38.61,0
304,343,,,8/30/05,604.95,0
305,344,,,8/30/05,183.32,0
306,345,,,8/31/05,712.98,0
307,346,,,8/31/05,209.5,0
308,347,,,8/31/05,573.02,0
309,348,,,8/31/05,277.91,0
310,349,,,9/1/05,615.49,0
311,350,,,9/1/05,887.93,0
312,351,,,9/1/05,175.99,0
313,352,,,9/1/05,174.86,0
314,353,,,9/2/05,784.49,0
315,354,,,9/2/05,747.07,0
316,355,,,9/2/05,228.13,0
317,356,,,9/2/05,891.44,0
318,357,,,9/3/05,201.63,0
319,358,,,9/3/05,288.37,0
320,359,,,9/3/05,636,0
321,360,,,9/3/05,252.99,0
322,361,,,9/4/05,760.69,0
323,362,,,9/4/05,750.74,0
324,363,,,9/4/05,320.27,0
325,364,,,9/4/05,142.85,0
326,365,,,9/5/05,727.85,0
327,366,,,9/5/05,666.88,0
328,367,,,9/5/05,177.66,0
329,368,,,9/5/05,242.94,0
330,369,,,9/6/05,763.17,0
331,370,,,9/6/05,392.6,0
332,371,,,9/6/05,849.35,0
333,373,,,9/7/05,792.01,0
334,374,,,9/7/05,742.08,0
335,375,,,9/7/05,256.32,0
336,376,,,9/7/05,719.8,0
337,377,,,9/8/05,825.25,0
338,378,,,9/8/05,206.95,0
339,379,,,9/8/05,34.22,0
340,380,,,9/8/05,724.93,0
341,381,,,9/9/05,530.9,0
342,382,,,9/9/05,354.96,0
343,383,,,9/9/05,641.49,0
344,384,,,9/9/05,118.88,0
345,385,,,9/10/05,236.97,0
346,386,,,9/10/05,376.2,0
347,387,,,9/10/05,410.43,0
348,388,,,9/10/05,688.04,0
349,389,,,9/11/05,477.16,0
350,391,,,9/11/05,317.68,0
351,392,,,9/11/05,699.08,0
352,393,,,9/12/05,242.34,0
353,394,,,9/12/05,458.2,0
354,395,,,9/12/05,465.54,0
355,396,,,9/12/05,595.58,0
356,397,,,9/13/05,400.06,0
357,398,,,9/13/05,594.71,0
358,399,,,9/13/05,464.62,0
359,401,,,9/14/05,158.52,0
360,402,,,9/14/05,594.6,0
361,403,,,9/14/05,90.19,0
362,405,,,9/15/05,478.61,0
363,406,,,9/15/05,156.21,0
364,407,,,9/15/05,469.65,0
365,409,,,9/16/05,647.08,0
366,410,,,9/16/05,524.63,0
367,411,,,9/16/05,828.1,0
368,412,,,9/16/05,540.68,0
369,413,,,9/17/05,388.15,0
370,414,,,9/17/05,616.4,0
371,416,,,9/17/05,569.06,0
372,417,,,9/18/05,524.74,0
373,418,,,9/18/05,710.53,0
374,419,,,9/18/05,328.81,0
375,420,,,9/18/05,705.87,0
376,421,,,9/19/05,699.83,0
377,422,,,9/19/05,412.98,0
378,423,,,9/19/05,688.86,0
379,424,,,9/19/05,712.87,0
380,425,,,9/20/05,530.93,0
381,426,,,9/20/05,740.36,0
382,427,,,9/20/05,196.84,0
383,428,,,9/20/05,450.75,0
384,429,,,9/21/05,228.64,0
385,430,,,9/21/05,717.32,0
386,431,,,9/21/05,452.26,0
387,432,,,9/21/05,152.6,0
388,433,,,9/22/05,172.43,0
389,434,,,9/22/05,660.8,0
390,435,,,9/22/05,729.75,0
391,436,,,9/22/05,623.59,0
392,437,,,9/23/05,141.78,0
393,438,,,9/23/05,669.65,0
394,439,,,9/23/05,803.74,0
395,440,,,9/23/05,675.38,0
396,441,,,9/24/05,746.35,0
397,442,,,9/24/05,521.3,0
398,444,,,9/24/05,124.56,0
399,445,,,9/25/05,213.55,0
400,446,,,9/25/05,369.42,0
401,448,,,9/25/05,497.47,0
402,449,,,9/26/05,668.63,0
403,450,,,9/26/05,361.42,0
404,452,,,9/26/05,255.7,0
405,453,,,9/27/05,594.32,0
406,454,,,9/27/05,395.66,0
407,455,,,9/27/05,87.71,0
408,456,,,9/27/05,593.08,0
409,457,,,9/28/05,390.82,0
410,458,,,9/28/05,212.43,0
411,459,,,9/28/05,0.8,0
412,461,,,9/29/05,323.65,0
413,462,,,9/29/05,135.9,0
414,463,,,9/29/05,540.32,0
415,465,,,9/30/05,559.57,0
416,467,,,9/30/05,66.36,0
417,468,,,9/30/05,827.66,0
418,469,,,10/1/05,820.59,0
419,470,,,10/1/05,667.28,0
420,471,,,10/1/05,710.32,0
421,472,,,10/1/05,146.68,0
422,473,,,10/2/05,541.5,0
423,474,,,10/2/05,636.43,0
424,476,,,10/2/05,704.94,0
425,477,,,10/3/05,329.97,0
426,478,,,10/3/05,846.87,0
427,479,,,10/3/05,762.37,0
428,480,,,10/3/05,834.18,0
429,481,,,10/4/05,435.42,0
430,482,,,10/4/05,39.3,0
431,483,,,10/4/05,149.85,0
432,484,,,10/4/05,3.63,0
433,485,,,10/5/05,46.45,0
434,487,,,10/5/05,785.75,0
435,488,,,10/5/05,800.88,0
436,489,,,10/6/05,393.11,0
437,490,,,10/6/05,464.59,0
438,492,,,10/6/05,124.46,0
439,493,,,10/7/05,405.97,0
440,494,,,10/7/05,257.62,0
441,495,,,10/7/05,308.79,0
442,496,,,10/7/05,500.04,0
443,497,,,10/8/05,528.78,0
444,498,,,10/8/05,60.34,0
445,499,,,10/8/05,400.59,0
446,500,,,10/8/05,832.49,0
447,501,,,10/9/05,66.53,0
448,502,,,10/9/05,598.43,0
449,503,,,10/9/05,139.29,0
450,504,,,10/9/05,644.14,0
451,505,,,10/10/05,450.57,0
452,506,,,10/10/05,727.31,0
453,507,,,10/10/05,721.2,0
454,508,,,10/10/05,741.66,0
455,509,,,10/11/05,722.14,0
456,510,,,10/11/05,483.44,0
457,511,,,10/11/05,122.43,0
458,513,,,10/12/05,584.59,0
459,515,,,10/12/05,418.9,0
460,516,,,10/12/05,285.57,0
461,517,,,10/13/05,482.8,0
462,518,,,10/13/05,482.24,0
463,519,,,10/13/05,359.75,0
464,520,,,10/13/05,413.65,0
465,521,,,10/14/05,289.87,0
466,522,,,10/14/05,124.65,0
467,523,,,10/14/05,566.62,0
468,524,,,10/14/05,613.6,0
469,525,,,10/15/05,420.73,0
470,528,,,10/15/05,258.59,0
471,529,,,10/16/05,896.65,0
472,530,,,10/16/05,899.97,0
473,531,,,10/16/05,813.71,0
474,532,,,10/16/05,677,0
475,533,,,10/17/05,535.73,0
476,534,,,10/17/05,177.59,0
477,535,,,10/17/05,742.75,0
478,536,,,10/17/05,350.26,0
479,537,,,10/18/05,309.19,0
480,538,,,10/18/05,149.48,0
481,539,,,10/18/05,370.97,0
482,540,,,10/18/05,441.04,0
483,541,,,10/19/05,762.52,0
484,542,,,10/19/05,48.17,0
485,543,,,10/19/05,438.49,0
486,544,,,10/19/05,145.8,0
487,545,,,10/20/05,676.2,0
488,546,,,10/20/05,585.03,0
489,547,,,10/20/05,300.74,0
490,548,,,10/20/05,839.44,0
491,550,,,10/21/05,822.36,0
492,551,,,10/21/05,881.01,0
493,552,,,10/21/05,851.65,0
494,553,,,10/22/05,354.69,0
495,554,,,10/22/05,222.96,0
496,556,,,10/22/05,363.8,0
497,557,,,10/23/05,372.52,0
498,558,,,10/23/05,55.55,0
499,559,,,10/23/05,766.34,0
500,560,,,10/23/05,602.7,0
501,561,,,10/24/05,730.7,0
502,562,,,10/24/05,784.46,0
503,563,,,10/24/05,313.38,0
504,564,,,10/24/05,339.44,0
505,565,,,10/25/05,162.71,0
506,566,,,10/25/05,392.81,0
507,567,,,10/25/05,188.54,0
508,568,,,10/25/05,138.3,0
509,569,,,10/26/05,603.7,0
510,570,,,10/26/05,240.44,0
511,571,,,10/26/05,892.65,0
512,572,,,10/26/05,407.99,0
513,573,,,10/27/05,184.2,0
514,574,,,10/27/05,884.54,0
515,575,,,10/27/05,255.22,0
516,576,,,10/27/05,403.81,0
517,578,,,10/28/05,567.64,0
518,579,,,10/28/05,660.5,0
519,580,,,10/28/05,215.19,0
520,581,,,10/29/05,544.41,0
521,582,,,10/29/05,78.6,0
522,584,,,10/29/05,679.78,0
523,585,,,10/30/05,528.75,0
524,586,,,10/30/05,505.3,0
525,587,,,10/30/05,665.45,0
526,588,,,10/30/05,275.3,0
527,589,,,10/31/05,653.84,0
528,591,,,10/31/05,102.05,0
529,592,,,10/31/05,98.25,0
530,593,,,11/1/05,611.68,0
531,594,,,11/1/05,809.27,0
532,595,,,11/1/05,620.24,0
533,596,,,11/1/05,523.79,0
534,597,,,11/2/05,183.06,0
535,598,,,11/2/05,97.26,0
536,599,,,11/2/05,758.46,0
537,601,,,11/3/05,423.45,0
538,602,,,11/3/05,629.05,0
539,604,,,11/3/05,187.28,0
540,605,,,11/4/05,616.57,0
541,606,,,11/4/05,568.2,0
542,607,,,11/4/05,190.99,0
543,608,,,11/4/05,164.78,0
544,609,,,11/5/05,397.45,0
545,610,,,11/5/05,332.71,0
546,611,,,11/5/05,181.57,0
547,612,,,11/5/05,242.43,0
548,613,,,11/6/05,62.02,0
549,614,,,11/6/05,617.06,0
550,615,,,11/6/05,111.55,0
551,616,,,11/6/05,698.51,0
552,617,,,11/7/05,405.62,0
553,618,,,11/7/05,237.14,0
554,620,,,11/7/05,539.59,0
555,621,,,11/8/05,78.04,0
556,622,,,11/8/05,31.86,0
557,625,,,11/9/05,18.21,0
558,626,,,11/9/05,98.67,0
559,627,,,11/9/05,484.44,0
560,628,,,11/9/05,805.4,0
561,629,,,11/10/05,807.62,0
562,630,,,11/10/05,81.59,0
563,631,,,11/10/05,26.85,0
564,632,,,11/10/05,260.67,0
565,633,,,11/11/05,404.84,0
566,636,,,11/11/05,792.52,0
567,637,,,11/12/05,656.47,0
568,638,,,11/12/05,450.65,0
569,639,,,11/12/05,624.73,0
570,640,,,11/12/05,373.35,0
571,641,,,11/13/05,884.42,0
572,642,,,11/13/05,732.99,0
573,645,,,11/14/05,793.16,0
574,646,,,11/14/05,671.16,0
575,647,,,11/14/05,748.47,0
576,648,,,11/14/05,545.71,0
577,649,,,11/15/05,236.1,0
578,650,,,11/15/05,885.69,0
579,651,,,11/15/05,715.02,0
580,653,,,11/16/05,808.09,0
581,654,,,11/16/05,116.19,0
582,655,,,11/16/05,375.5,0
583,657,,,11/17/05,334.06,0
584,659,,,11/17/05,715.6,0
585,660,,,11/17/05,186.65,0
586,661,,,11/18/05,325.23,0
587,662,,,11/18/05,205.36,0
588,663,,,11/18/05,536.43,0
589,664,,,11/18/05,256.41,0
590,665,,,11/19/05,224.08,0
591,667,,,11/19/05,530.88,0
592,668,,,11/19/05,431.57,0
593,669,,,11/20/05,567.37,0
594,670,,,11/20/05,817.83,0
595,671,,,11/20/05,645.88,0
596,672,,,11/20/05,885.66,0
597,673,,,11/21/05,58.75,0
598,674,,,11/21/05,8.85,0
599,675,,,11/21/05,108.06,0
600,677,,,11/22/05,506.03,0
601,679,,,11/22/05,102.34,0
602,680,,,11/22/05,483.38,0
603,681,,,11/23/05,758.95,0
604,682,,,11/23/05,844.64,0
605,683,,,11/23/05,783.95,0
606,684,,,11/23/05,48.87,0
607,685,,,11/24/05,154.88,0
608,686,,,11/24/05,834.35,0
609,687,,,11/24/05,417.01,0
610,688,,,11/24/05,31.89,0
611,689,,,11/25/05,337.58,0
612,690,,,11/25/05,231.46,0
613,691,,,11/25/05,248.24,0
614,692,,,11/25/05,113.89,0
615,693,,,11/26/05,679.78,0
616,694,,,11/26/05,865.43,0
617,695,,,11/26/05,117.05,0
618,696,,,11/26/05,412.89,0
619,697,,,11/27/05,363.11,0
620,698,,,11/27/05,592.97,0
621,699,,,11/27/05,122.95,0
622,700,,,11/27/05,358.05,0
623,701,,,11/28/05,560.67,0
624,702,,,11/28/05,17.05,0
625,703,,,11/28/05,261.23,0
626,704,,,11/28/05,189.95,0
627,705,,,11/29/05,440.19,0
628,706,,,11/29/05,594,0
629,708,,,11/29/05,704.76,0
630,709,,,11/30/05,210.46,0
631,710,,,11/30/05,460.32,0
632,711,,,11/30/05,823.12,0
633,712,,,11/30/05,489.55,0
634,713,,,12/1/05,438.13,0
635,715,,,12/1/05,713.56,0
636,716,,,12/1/05,744.08,0
637,717,,,12/2/05,57.71,0
638,718,,,12/2/05,818.39,0
639,719,,,12/2/05,455.62,0
640,720,,,12/2/05,30.69,0
641,721,,,12/3/05,564.97,0
642,722,,,12/3/05,591.29,0
643,724,,,12/3/05,531.23,0
644,725,,,12/4/05,723.3,0
645,726,,,12/4/05,432.6,0
646,728,,,12/4/05,516.42,0
647,729,,,12/5/05,23.19,0
648,730,,,12/5/05,776.84,0
649,731,,,12/5/05,396.08,0
650,732,,,12/5/05,420.62,0
651,733,,,12/6/05,413.71,0
652,734,,,12/6/05,726.2,0
653,735,,,12/6/05,242.02,0
654,736,,,12/6/05,158.53,0
655,737,,,12/7/05,602.58,0
656,738,,,12/7/05,216.51,0
657,740,,,12/7/05,765.92,0
658,741,,,12/8/05,263.66,0
659,742,,,12/8/05,166.33,0
660,743,,,12/8/05,166.95,0
661,744,,,12/8/05,18.47,0
662,745,,,12/9/05,725.69,0
663,746,,,12/9/05,570.56,0
664,747,,,12/9/05,386.32,0
665,748,,,12/9/05,236.01,0
666,749,,,12/10/05,717.23,0
667,750,,,12/10/05,619.71,0
668,751,,,12/10/05,432.69,0
669,752,,,12/10/05,125.79,0
670,753,,,12/11/05,451.98,0
671,754,,,12/11/05,167.48,0
672,755,,,12/11/05,142.51,0
673,756,,,12/11/05,138.85,0
674,757,,,12/12/05,501.92,0
675,758,,,12/12/05,456.3,0
676,759,,,12/12/05,88.74,0
677,760,,,12/12/05,889.33,0
678,761,,,12/13/05,110.36,0
679,762,,,12/13/05,478.92,0
680,763,,,12/13/05,466.54,0
681,764,,,12/13/05,648.02,0
682,765,,,12/14/05,560.28,0
683,766,,,12/14/05,887.19,0
684,767,,,12/14/05,529,0
685,768,,,12/14/05,283.27,0
686,769,,,12/15/05,755.68,0
687,770,,,12/15/05,47.07,0
688,772,,,12/15/05,54.84,0
689,773,,,12/16/05,174.51,0
690,774,,,12/16/05,334.32,0
691,776,,,12/16/05,91.29,0
692,778,,,12/17/05,145.73,0
693,779,,,12/17/05,644.22,0
694,780,,,12/17/05,468.66,0
695,782,,,12/18/05,710.9,0
696,783,,,12/18/05,268.92,0
697,784,,,12/18/05,773.84,0
698,785,,,12/19/05,798.33,0
699,786,,,12/19/05,837.42,0
700,787,,,12/19/05,690.64,0
701,788,,,12/19/05,73.03,0
702,789,,,12/20/05,819.95,0
703,790,,,12/20/05,387.9,0
704,791,,,12/20/05,126.73,0
705,793,,,12/21/05,506.48,0
706,794,,,12/21/05,328.81,0
707,795,,,12/21/05,747.62,0
708,796,,,12/21/05,522.97,0
709,797,,,12/22/05,230.28,0
710,798,,,12/22/05,72.6,0
711,799,,,12/22/05,665.49,0
712,801,,,12/23/05,412.2,0
713,802,,,12/23/05,70.18,0
714,803,,,12/23/05,421.82,0
715,804,,,12/23/05,584.65,0
716,805,,,12/24/05,411.15,0
717,806,,,12/24/05,429.47,0
718,807,,,12/24/05,558.48,0
719,808,,,12/24/05,697.23,0
720,809,,,12/25/05,207.23,0
721,811,,,12/25/05,611.63,0
722,812,,,12/25/05,790.11,0
723,813,,,12/26/05,222.72,0
724,814,,,12/26/05,735.47,0
725,815,,,12/26/05,30.82,0
726,816,,,12/26/05,205.05,0
727,817,,,12/27/05,364.34,0
728,818,,,12/27/05,325.41,0
729,819,,,12/27/05,761.96,0
730,820,,,12/27/05,648.89,0
731,821,,,12/28/05,30.58,0
732,822,,,12/28/05,688.93,0
733,823,,,12/28/05,404.24,0
734,824,,,12/28/05,215.14,0
735,825,,,12/29/05,396.17,0
736,826,,,12/29/05,648.49,0
737,827,,,12/29/05,80.7,0
738,828,,,12/29/05,395.74,0
739,829,,,12/30/05,402.88,0
740,830,,,12/30/05,188.03,0
741,831,,,12/30/05,705.6,0
742,832,,,12/30/05,206.7,0
743,833,,,12/31/05,867.88,0
744,834,,,12/31/05,326.08,0
745,835,,,12/31/05,793.96,0
746,836,,,12/31/05,353.89,0
747,837,,,1/1/06,116.79,0
748,838,,,1/1/06,557.64,0
749,839,,,1/1/06,92.42,0
750,840,,,1/1/06,554.51,0
751,841,,,1/2/06,43.87,0
752,842,,,1/2/06,273.49,0
753,843,,,1/2/06,419.09,0
754,844,,,1/2/06,176.7,0
755,845,,,1/3/06,448.63,0
756,846,,,1/3/06,868.29,0
757,847,,,1/3/06,85.32,0
758,848,,,1/3/06,338.3,0
759,849,,,1/4/06,430.55,0
760,851,,,1/4/06,173.48,0
761,852,,,1/4/06,541.57,0
762,853,,,1/5/06,16.69,0
763,854,,,1/5/06,94.71,0
764,855,,,1/5/06,93.32,0
765,856,,,1/5/06,743.43,0
766,857,,,1/6/06,564.92,0
767,858,,,1/6/06,160.74,0
768,859,,,1/6/06,803.07,0
769,860,,,1/6/06,694.76,0
770,861,,,1/7/06,124.26,0
771,862,,,1/7/06,432.4,0
772,863,,,1/7/06,242.55,0
773,864,,,1/7/06,411.72,0
774,865,,,1/8/06,456.43,0
775,866,,,1/8/06,591.91,0
776,867,,,1/8/06,257.5,0
777,868,,,1/8/06,257.06,0
778,869,,,1/9/06,191.32,0
